Nominal CL_scaled,Nominal AK_scaled,Nominal TF_scaled,Nominal TO_scaled,Total_Mutasi_scaled,Selisih_Final_scaled,Jumlah_Titik_Mutasi,Hari,Hari_dalam_Minggu,Akhir_Pekan,Is_Outlier_Nominal,Jenis_Bayar_Encoded,Akun_Closing_Encoded
-0.26191528481009757,-0.19036402942536562,-0.17726053497137864,-0.38434151536826466,-0.23175110697300508,0.092739702955036,1,15,4,0,0,9,0
0.10969024989938679,0.15221742506072516,-0.17726053497137864,-0.38434151536826466,-0.038919268258974266,0.09265957403431307,1,20,2,0,0,9,0
0.42565733507460063,0.4432778404932437,-0.17726053497137864,-0.38434151536826466,0.12491246971095425,0.09271566427881912,1,25,0,0,0,9,0
-0.43153609713233443,-0.3462653553926687,-0.17726053497137864,-0.38434151536826466,-0.31950465857528865,0.09251971264541488,1,21,3,0,0,9,0
0.8228362547003928,-0.35964744345853156,-0.17726053497137864,-0.38434151536826466,-0.3270371522750555,0.7290121392922236,0,10,6,1,0,0,0
-0.284299620704474,-0.21043716152416,-0.17726053497137864,-0.38434151536826466,-0.24304984752265532,0.09243812683522426,1,27,2,0,0,9,0
-0.22783631696052364,-0.15891612247058776,0.014303803376178868,-0.38434151536826466,-0.1010623412820506,-0.01655104579789602,2,22,4,0,0,9,2
-0.1390497649788004,-0.35964744345853156,-0.17726053497137864,-0.38434151536826466,-0.3270371522750555,0.2465187569380695,0,22,4,0,0,9,0
-0.09336765428531393,-0.03513180786135574,-0.17726053497137864,-0.38434151536826466,-0.14437418005570987,0.09278559497326822,1,17,6,1,0,9,0
-0.22783631696052364,-0.15891612247058776,0.014303803376178868,-0.38434151536826466,-0.1010623412820506,-0.01655104579789602,2,22,4,0,0,9,2
-0.11892070828800293,-0.05855046197661585,0.11008597254995763,-0.38434151536826466,0.011925064214451823,-0.07118440083625359,2,4,0,0,0,9,0
-0.4456675343055651,-0.35964744345853156,-0.17726053497137864,-0.38434151536826466,-0.3270371522750555,0.09271566427881912,0,8,4,0,0,5,7
1.3260263667674386,-0.35964744345853156,12.299387399288902,-0.38434151536826466,7.031869476931276,-6.13515828151898,1,26,1,0,1,9,2
-0.22783631696052364,-0.35964744345853156,-0.17726053497137864,1.7817026891706205,-0.21404974677855304,0.09271566427881912,1,25,0,0,0,9,0
-0.08072182601437647,-0.023087928602079106,-0.17726053497137864,-0.38434151536826466,-0.13759493572591971,0.09257288911098555,1,30,5,1,0,9,0
-0.16118722549351913,-0.09735851736761832,-0.17726053497137864,-0.38434151536826466,-0.1794002757596256,0.09263917758176542,1,15,4,0,0,9,0
0.42565733507460063,-0.35964744345853156,-0.17726053497137864,-0.38434151536826466,-0.3270371522750555,0.5297825045856797,0,13,2,0,0,9,0
-0.22783631696052364,-0.35964744345853156,-0.17726053497137864,1.7817026891706205,-0.21404974677855304,0.09271566427881912,1,25,0,0,0,9,0
0.25578093412401226,0.28673685071639243,0.4396047306107142,-0.38434151536826466,0.4006348820946992,-0.25913916795234826,2,21,3,0,1,9,2
-0.22783631696052364,-0.15891612247058776,-0.17726053497137864,-0.38434151536826466,-0.21404974677855304,0.09271566427881912,1,4,0,0,0,9,0
0.42565733507460063,-0.35964744345853156,-0.17726053497137864,-0.38434151536826466,-0.3270371522750555,0.5297825045856797,0,13,2,0,0,9,0
-0.4456675343055651,0.4432778404932437,-0.17726053497137864,-0.38434151536826466,0.12491246971095425,-0.3443511760280415,1,16,5,1,0,8,7
